Sign Out,Wyloguj się
"
                        Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.
                    ",                        Wartości oddzielone półtonem (;). <br/> Umieść średnik na początku dla pustej pierwszej opcji. <br/> Pozostaw puste pole tekstowe.
Show Middle Name (initial),Pokaż imię (imię)
Always optional.,Zawsze opcjonalne.
Show Suffix,Pokaż Suffix
"The suffix that goes after name (Jr., Sr., etc.)","Sufiks, który idzie po nazwie (Jr., Sr., itd.)"
Suffix Dropdown Options,Opcje rozwijania Suffix
Show Date of Birth,Pokaż datę urodzenia
Show Tax/VAT Number,Pokaż numer podatkowy / VAT
Show Gender,Pokaż Płeć
Show Telephone,Pokaż telefon
Show Company,Pokaż firmę
Show Fax,Pokaż faks
Login Options,Opcje logowania
Redirect Customer to Account Dashboard after Logging in,Przekieruj konto do konta po zalogowaniu
"Customer will stay on the current page if ""No"" is selected.","Klient pozostanie na bieżącej stronie, jeśli wybrano ""Nie""."
Address Templates,Szablony adresowe
Online Customers Options,Opcje klienta online
Online Minutes Interval,Minuty interwału online
Leave empty for default (15 minutes).,Opuść wartość domyślną (15 minut).
Customer Notification,Powiadomienie klienta
Customer Grid,Sieć klienta
Rebuild Customer grid index,Przebuduj indeks sieci klientów
Group,Grupa
Add New Customer,Dodaj nowego klienta
Are you sure to delete selected customers?,Czy na pewno usunąć wybrane klienci?
Delete items,Usuń elementy
Subscribe to Newsletter,Zapisz się do newslettera
Are you sure to unsubscribe selected customers from newsletter?,Czy na pewno wyrejestrowanie wybranych klientów z biuletynu?
Unsubscribe from Newsletter,Anuluj subskrypcję biuletynu
Assign a Customer Group,Przypisz Grupę Klientów
Phone,Telefon
ZIP,zamek błyskawiczny
Customer Since,Klient od
Confirmed email,Potwierdzony e-mail
Account Created in,Konto utworzone w
Tax VAT Number,Podatek VAT Numer
Billing Firstname,Imię i nazwisko faktury
Billing Lastname,Nazwisko rozliczeniowe
Account Lock,Blokada konta
First Name,Pierwsze imię
Last Name,Nazwisko
Last Activity,Ostatnia aktywność
Type,Rodzaj
Customer Information,Informacje dla klientów
"If your Magento installation has multiple websites, you can edit the scope to associate the customer with a specific site.","Jeśli instalacja Magento zawiera wiele stron internetowych, możesz edytować zakres, aby powiązać klienta z konkretną witryną."
Disable Automatic Group Change Based on VAT ID,Wyłącz automatyczną zmianę grupy na podstawie ID VAT
Send Welcome Email From,Wyślij Witaj Email z
Are you sure you want to delete this item?,Czy na pewno chcesz usunąć ten element?
Addresses,Adresy
Account Dashboard,Panel konta
Edit Account Information,Edytuj informacje o koncie
Password forgotten,Zapomniałeś hasła
My Dashboard,moja tablica
You are signed out,Wylogujesz się
