Credit Memos,Noty kredytowe
Leave this box blank if you don't want to leave a gift message for the entire order.,"Pozostaw to pole puste, jeśli nie chcesz zostawiać wiadomości prezentowej dla całego zamówienia."
Row Subtotal,Wiersz Suma
Action,Akcja
No ordered items,Brak zamówionych przedmiotów
Update Items and Quantities,Aktualizuj przedmioty i ilości
Total %1 product(s),Razem %1 produktu (ów)
Subtotal:,Podsuma:
Tier Pricing,Poziom cen
Custom Price,Cena niestandardowa
Please select,Proszę wybrać
Move to Shopping Cart,Przenieś do koszyka
Move to Wish List,Przejdź do listy życzeń
Subscribe to Newsletter,Zapisz się do newslettera
Click to change shipping method,"Kliknij, aby zmienić metodę wysyłki"
"Sorry, no quotes are available for this order.","Niestety, nie ma ofert dla tego zamówienia."
Get shipping methods and rates,Uzyskaj metody wysyłki i stawki
You don't need to select a shipping method.,Nie musisz wybierać metody wysyłki.
Customer's Activities,Działania klienta
Refresh,Odświeżać
Item,Pozycja
Add To Order,Dodaj do zamówienia
Configure and Add to Order,Skonfiguruj i dodaj do zamówienia
No items,Żadnych przedmiotów
Append Comments,Dołącz komentarze
Email Order Confirmation,Potwierdzenie zamówienia pocztą e-mail
Grand Total Excl. Tax,Grand Total Excl. Podatek
Grand Total Incl. Tax,Grand Total Incl. Podatek
Subtotal (Excl. Tax),Podsuma (bez podatku)
Subtotal (Incl. Tax),Podsuma (z podatkiem)
Payment &amp; Shipping Method,Płatność i płatność Sposób wysyłki
Payment Information,Informacje o płatności
The order was placed using %1.,Zamówienie zostało złożone za pomocą %1.
Shipping Information,informacje wysyłkowe
Items to Refund,Produkty do Zwrotu
Return to Stock,Wróć do magazynu
Qty to Refund,Ilość do Zwrotu
Tax Amount,Wysokość podatku
Discount Amount,Kwota rabatu
Row Total,Rząd łącznie
No Items To Refund,Brak przedmiotów do zwrotu
Credit Memo Comments,Komentarze do notatek kredytowych
Refund Totals,Zwroty sumy
Email Copy of Credit Memo,Email Copy of Credit Memo
Please enter a positive number in this field.,Wpisz liczbę dodatnią w tym polu.
Items Refunded,Produkty zwrócone
No Items,Żadnych przedmiotów
Memo Total,Memo Total
Credit Memo History,Historia not kredytowych
Credit Memo Totals,Nota kredytowa
Customer Name: %1,Nazwa klienta: %1
Purchased From: %1,Kupione od: %1
Gift Message,Wiadomość na prezent
From:,Od:
To:,Do:
Message:,Wiadomość:
Shipping &amp; Handling,Wysyłka i amp; Obsługa
Gift Options,Opcje upominków
Create Shipment,Utwórz przesyłkę
Invoice and shipment types do not match for some items on this order. You can create a shipment only after creating the invoice.,Typy faktur i przesyłek nie pasują do niektórych pozycji w tym zamówieniu. Możesz utworzyć przesyłkę dopiero po utworzeniu faktury.
%1, %1
Qty to Invoice,Ilość do faktury
Invoice History,Historia faktur
Invoice Comments,Komentarze na fakturze
Invoice Totals,Sumy faktur
Amount,Ilość
Capture Online,Przechwyć online
Capture Offline,Przechwyć offline
Not Capture,Nie przechwytuj
The invoice will be created offline without the payment gateway.,Faktura zostanie utworzona w trybie offline bez bramy płatności.
Email Copy of Invoice,E-mail Kopia faktury
Items Invoiced,Zafakturowane produkty
Total Tax,Podatek całkowity
From Name,Z nazwy
To Name,Nazwać
Status,Status
Comment,Komentarz
Notification Not Applicable,Powiadomienie nie dotyczy
Order & Account Information,Informacje o zamówieniu i koncie
The order confirmation email was sent,Wiadomość e-mail z potwierdzeniem zamówienia została wysłana
The order confirmation email is not sent,Wiadomość e-mail z potwierdzeniem zamówienia nie została wysłana
Order Date,Data zamówienia
Order Date (%1),Data zamówienia ( %1)
Purchased From,Kupiony od
Link to the New Order,Link do nowego zamówienia
Link to the Previous Order,Link do poprzedniego zamówienia
Placed from IP,Umieszczono w IP
%1 / %2 rate:,Współczynnik %1 / %2:
Customer Name,Nazwa klienta
Customer Group,Grupa klientów
Notes for this Order,Uwagi do tego zamówienia
Comment added,Dodano komentarz
Transaction Data,Dane transakcji
Transaction ID,Identyfikator transakcji
Parent Transaction ID,Nadrzędny identyfikator transakcji
Order ID,ID zamówienia
Transaction Type,typ transakcji
Is Closed,Zamknięte
Created At,Utworzono w
Child Transactions,Transakcje podrzędne
Transaction Details,szczegóły transakcji
Items,Przedmiotów
Gift Message for this Order,Wiadomość prezentowa dla tego zamówienia
Shipped By,Wysłane przez
Tracking Number,Numer przesyłki
Billing Last Name,Billing Last Name
Find Order By,Znajdź zamówienie według
ZIP Code,Kod pocztowy
Billing ZIP Code,Billing ZIP Code
Continue,Kontyntynuj
Print All Refunds,Wydrukuj wszystkie zwroty
Refund #,Zwrot #
Print Refund,Wydrukuj zwrot pieniędzy
Product Name,Nazwa produktu
Order #,Zamówienie #
Date,Data
Ship To,Dostawa do
Actions,działania
View Order,Wyświetl zamówienie
You have placed no orders.,Nie złożyłeś żadnych zamówień.
No shipping information available,Brak dostępnych informacji o wysyłce
Print Order,Zamówienie drukowania
Print All Invoices,Wydrukuj wszystkie faktury
Invoice #,Faktura #
Print Invoice,Wydrukować fakturę
Qty Invoiced,Ilość zafakturowanych
Close,Blisko
About Your Order,O Twoim zamówieniu
"<span class=""label"">Order Date:</span> %1","<span class = ""label""> Data zamówienia: </ span> %1"
Refund #%1,Zwrot # %1
Shipment #%1,Przesyłka # %1
Qty Shipped,Ilość wysłana
Recent Orders,ostatnie zamówienia
View All,Pokaż wszystkie
Gift Message for This Order,Wiadomość prezentowa dla tego zamówienia
Recently Ordered,Ostatnio zamówione
Add to Cart,Dodaj do koszyka
Search,Szukanie
Credit memo for your %store_name order,Nota kredytowa dla twojego zamówienia% store_name
"%name,","%Nazwa,"
Thank you for your order from %store_name.,Dziękujemy za zamówienie z% store_name.
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Możesz sprawdzić stan swojego zamówienia, <a href=""%account_url""> logując się na swoje konto </a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","Jeśli masz pytania dotyczące zamówienia, możesz wysłać do nas e-mail na <a href=""mailto:%store_email"">% store_email </a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","lub zadzwoń do nas na <a href=""tel:%store_phone"">% store_phone </a>"
"Our hours are <span class=""no-link"">%store_hours</span>.","Nasze godziny to <span class = ""no-link"">% store_hours </ span>."
Your Credit Memo #%creditmemo_id for Order #%order_id,Twoja nr faktury #% creditmemo_id dla zamówienia nr% order_id
Billing Info,Informacja rachunkowa
Shipping Info,informacje o dostawie
Update to your %store_name credit memo,Zaktualizuj swoją notatkę kredytową% store_name
Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.,Twoje zamówienie #% increment_id zostało zaktualizowane ze statusem <strong>% order_status </ strong>.
Invoice for your %store_name order,Faktura dla Twojego zamówienia% store_name
Your Invoice #%invoice_id for Order #%order_id,Twoja faktura #% identyfikator_ faktury dla zamówienia nr% identyfikator zamówienia
Update to your %store_name invoice,Zaktualizuj do faktury% store_name
Your %store_name order confirmation,Twoje potwierdzenie zamówienia% store_name
"%customer_name,","% nazwa_klienta,"
Once your package ships we will send you a tracking number.,"Gdy twoje paczki zostaną wysłane, wyślemy ci numer śledzenia."
"Your Order <span class=""no-link"">#%increment_id</span>","Twoje zamówienie <span class = ""no-link""> #% increment_id </ span>"
"Placed on <span class=""no-link"">%created_at</span>","Umieszczono w <span class = ""no-link"">% created_at </ span>"
Once your package ships we will send an email with a link to track your order.,Po wysłaniu paczki wyślemy e-mail z linkiem do śledzenia zamówienia.
Update to your %store_name order,Zaktualizuj kolejność% store_name
Your %store_name order has shipped,Twoje zamówienie% store_name zostało wysłane
Your shipping confirmation is below. Thank you again for your business.,Potwierdzenie wysyłki jest poniżej. Jeszcze raz dziękuję za twój biznes.
Your Shipment #%shipment_id for Order #%order_id,Twoja przesyłka #% identyfikator_przesyłki dla zamówienia nr% identyfikator_ zamówienia
Update to your %store_name shipment,Zaktualizuj przesyłkę% store_name
Gift Options for ,Opcje upominków dla
Add Products,Dodaj produkty
You have item changes,Masz zmiany w przedmiotach
Ok,Ok
Operations,Operacje
Create,Stwórz
Send Order Email,Wyślij e-mail z zamówieniem
Accept or Deny Payment,Zaakceptuj lub Odrzuć płatność
Send Sales Emails,Wyślij e-maile dotyczące sprzedaży
Sales Section,Sekcja sprzedaży
Sales Emails Section,Sekcja sprzedaży e-maili
General,Generał
Hide Customer IP,Ukryj adres IP klienta
"Choose whether a customer IP is shown in orders, invoices, shipments, and credit memos.","Wybierz, czy adres IP klienta jest wyświetlany w zamówieniach, fakturach, wysyłkach i notach kredytowych."
Rachunekout Totals Sort Order,Zamówienie kolejności sortowania zamówienia
Allow Reorder,Zezwalaj na zmianę kolejności
Invoice and Packing Slip Design,Projekt faktur i opakowań spakowanych
Logo for PDF Print-outs (200x50),Logo do wydruków PDF (200x50)
"
                        Your default logo will be used in PDF and HTML documents.<br />(jpeg, tiff, png) If your pdf image is distorted, try to use larger file-size image.
                    ","Twoje domyślne logo będzie używane w dokumentach PDF i HTML. <br /> (jpeg, tiff, png) Jeśli obraz w pliku PDF jest zniekształcony, spróbuj użyć większego obrazu o rozmiarze pliku."
Logo for HTML Print View,Logo dla HTML Print View
"
                        Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)
                    ","Logo tylko dla dokumentów HTML. Jeśli jest pusty, zostanie użyty domyślny. <br /> (jpeg, gif, png)"
Address,Adres
Minimum Order Amount,Minimalna kwota zamówienia
Enable,Włączyć
Minimum Amount,Stawka minimalna
Subtotal after discount,Suma częściowa po rabacie
Include Tax to Amount,Uwzględnij podatek do kwoty
Description Message,Opis Wiadomość
This message will be shown in the shopping cart when the subtotal (after discount) is lower than the minimum allowed amount.,"Ta wiadomość zostanie wyświetlona w koszyku, gdy suma częściowa (po obniżce) jest niższa niż minimalna dozwolona kwota."
Error to Show in Shopping Cart,Błąd wyświetlania w koszyku
Validate Each Address Separately in Multi-address Rachunekout,Potwierdź każdy adres oddzielnie w wielu adresach kasy
Multi-address Description Message,Wiele adresów Opis Wiadomość
We'll use the default description above if you leave this empty.,"Będziemy używać domyślnego opisu powyżej, jeśli pozostawisz to pole puste."
Multi-address Error to Show in Shopping Cart,Błąd adresu wielokrotnego do wyświetlenia w koszyku
We'll use the default error above if you leave this empty.,"Użyjemy domyślnego błędu powyżej, jeśli pozostawisz to puste."
Dashboard,Deska rozdzielcza
Use Aggregated Data,Użyj zagregowanych danych
Orders Cron Settings,Zamówienia Ustawienia Cron
Pending Payment Order Lifetime (minutes),Żądanie realizacji płatności w toku (minuty)
Sales Emails,Sprzedaż e-maili
Asynchronous sending,Przesyłanie asynchroniczne
Enabled,Włączone
New Order Confirmation Email Sender,Nowa wiadomość e-mail z potwierdzeniem zamówienia
New Order Confirmation Template,Nowy szablon potwierdzenia zamówienia
"Email template chosen based on theme fallback when ""Default"" option is selected.","Wybrano szablon wiadomości e-mail na podstawie zastępczego motywu, gdy wybrano opcję ""Domyślne""."
New Order Confirmation Template for Guest,Nowy szablon potwierdzenia zamówienia dla gościa
Send Order Email Copy To,Wyślij zamówienie E-mail Kopiuj do
Comma-separated,Oddzielone przecinkami
Send Order Email Copy Method,Wyślij Zamówienie Metoda kopiowania wiadomości e-mail
Order Comment Email Sender,Zamów komentarz e-mail nadawcy
Order Comment Email Template,Zamów komentarz Szablon e-maila
Order Comment Email Template for Guest,Zamów komentarz Szablon wiadomości e-mail dla gości
Send Order Comment Email Copy To,Wyślij zamówienie Komentarz e-mail Kopiuj do
Send Order Comments Email Copy Method,Wyślij zamówienie Komentarze Email Copy Method
Invoice Email Sender,Invoice Email Sender
Invoice Email Template,Szablon e-maila faktury
Invoice Email Template for Guest,Szablon e-maila faktury dla gości
Send Invoice Email Copy To,Wyślij wiadomość e-mail Kopiuj do
Send Invoice Email Copy Method,Wyślij kopię e-mailem faktury
Invoice Comment Email Sender,Invoice Comment Email Sender
Invoice Comment Email Template,Szablon e-maila z komentarzem do faktury
Invoice Comment Email Template for Guest,Szablon e-maila z komentarzem do faktury dla gości
Send Invoice Comment Email Copy To,Wyślij komentarz faktury e-mail Kopiuj do
Send Invoice Comments Email Copy Method,Wyślij fakturę Komentarze Email Copy Method
Shipment,Wysyłka
Shipment Email Sender,Wysłanie e-maila nadawcy
Shipment Email Template,Szablon e-maila wysyłkowego
Shipment Email Template for Guest,Szablon wiadomości e-mail przesyłki dla gości
Send Shipment Email Copy To,Wyślij przesyłkę E-mail Kopiuj do
Send Shipment Email Copy Method,Wyślij e-mail Kopiowanie Metoda
Shipment Comments,Komentarze przesyłki
Shipment Comment Email Sender,Wyślij wiadomość e-mail nadawcy
Shipment Comment Email Template,Szablon wiadomości e-mail z komentarzem do wysyłki
Shipment Comment Email Template for Guest,Szablon wiadomości e-mail z zaproszeniem do wysyłki
Send Shipment Comment Email Copy To,Wyślij przesyłkę Komentarz e-mail Kopiuj do
Send Shipment Comments Email Copy Method,Wyślij przesyłkę Komentarze Email Copy Method
Credit Memo Email Sender,Nota kredytowa Email Send
Credit Memo Email Template,Szablon wiadomości e-mail z notą kredytową
Credit Memo Email Template for Guest,Szablon wiadomości e-mail z notą kredytową dla gości
Send Credit Memo Email Copy To,Wyślij email do wiadomości e-mail Kopiuj do
Send Credit Memo Email Copy Method,Wyślij notę ​​kredytową Email Copy Method
Credit Memo Comment Email Sender,Komentarz do notatki kredytowej Wyślij wiadomość e-mail do nadawcy
Credit Memo Comment Email Template,Szablon wiadomości e-mail z komentarzem do wiadomości
Credit Memo Comment Email Template for Guest,Komentarz do wiadomości e-mail Szablon wiadomości e-mail dla gości
Send Credit Memo Comment Email Copy To,Wyślij komentarz do wiadomości kredytowej Kopiuj do
Send Credit Memo Comments Email Copy Method,Wyślij komentarze do wiadomości kredytowych Metoda kopiowania wiadomości e-mail
PDF Print-outs,Wydruk PDF
Display Order ID in Header,Wyświetl identyfikator zamówienia w nagłówku
Customer Order Status Notification,Powiadomienie o statusie zamówienia klienta
Asynchronous indexing,Asynchroniczne indeksowanie
Orders and Returns Search Form,Formularz wyszukiwania zamówień i zwrotów
Anchor Custom Title,Anchor Custom Title
Template,Szablon
Default Template,Domyślny szablon
Name,Nazwa
Phone,Telefon
ZIP/Post Code,Kod pocztowy
Signed-up Point,Punkt rejestracji
Website,Stronie internetowej
Bill-to Name,Nazwa rachunku
Created,Stworzony
Invoice Date,Data faktury
Ship-to Name,Nazwa wysyłki
Ship Date,Data wysyłki
Total Quantity,Całkowita ilość
Default Status,Domyślny status
State Code and Title,Kod państwa i tytuł
Item Status,Status produktu
Original Price,Cena oryginalna
Tax Percent,Procent podatkowy
All Store Views,Wszystkie widoki Store
PDF Credit Memos,PDF Credit Memos
Purchase Point,Punkt zakupu
Print Invoices,Drukuj faktury
Print Packing Slips,Wydrukuj spinki do pakowania
Print Credit Memos,Wydrukuj noty kredytowe
Print All,Drukuj wszystko
Print Shipping Labels,Wydrukuj etykiety wysyłkowe
Purchase Date,Data zakupu
Grand Total (Base),Grand Total (baza)
Grand Total (Purchased),Suma całkowita (zakupiona)
Customer Email,E-mail klienta
Shipping and Handling,Wysyłka i doręczenie
PDF Invoices,Faktury PDF
PDF Shipments,Przesyłki PDF
PDF Creditmemos,PDF Creditmemos
Refunds,Zwroty
