Root,Korzeń
Images,Obrazy
Select...,Wybierz...
Advanced Pricing,Zaawansowane ceny
Customer Group Price,Cena grupy klientów
Customer Group,Grupa klientów
Special Price From,Cena specjalna od
To,Do
Done,Gotowe
Add Selected,Dodaj wybrane
Select Attribute,Wybierz Atrybut
Create New Attribute,Utwórz nowy atrybut
Customizable Options,Dostosowalne opcje
Custom options let customers choose the product variations they want.,"Opcje niestandardowe pozwalają klientom wybrać odmiany produktu, które chcą."
Add Option,Dodaj opcję
New Option,Nowa opcja
Select Product,Wybierz produkt
Option Title,Tytuł opcji
Add Value,Dodać wartość
Title,Tytuł
Option Type,Typ opcjonalny
Required,wymagany
Price Type,Typ ceny
Max Characters,Maksymalna liczba znaków
Compatible File Extensions,Kompatybilne rozszerzenia plików
Maximum Image Size,Maksymalny rozmiar obrazu
Please leave blank if it is not an image.,"Opuść puste, jeśli nie jest to obraz."
%1,% 1
This item has weight,Ten przedmiot ma wagę
This item has no weight,Ten przedmiot nie ma wagi
Set Product as New From,Ustaw produkt jako nowy
"Related Products, Up-Sells, and Cross-Sells","Produkty pokrewne, sprzedaż w górę i sprzedaż krzyżowa"
Related products are shown to customers in addition to the item the customer is looking at.,"Produkty pokrewne są wyświetlane klientom poza pozycją, na którą patrzy."
Add Related Products,Dodaj powiązane produkty
An up-sell item is offered to the customer as a pricier or higher-quality alternative to the product the customer is looking at.,"Przedmiot sprzedawany na zakupy jest oferowany klientowi jako prierek lub wyższa jakość alternatywy dla produktu, który klient patrzy."
Add Up-Sell Products,Dodaj produkty do sprzedaży
Up-Sell Products,Up-Sprzedaj produkty
"These ""impulse-buy"" products appear next to the shopping cart as cross-sells to the items already in the shopping cart.","Te produkty ""impulsowo-kupuj"" pojawiają się obok koszyka zakupów w formie cross-sells do przedmiotów już znajdujących się w koszyku."
Add Cross-Sell Products,Dodaj produkty cross-sell
Cross-Sell Products,Produkty Cross-Sell
Add Selected Products,Dodaj wybrane produkty
Remove,Usunąć
Thumbnail,Miniaturka
Actions,działania
Schedule Update From,Zaktualizuj harmonogram z
Product in Websites,Produkt w witrynach internetowych
"If your Magento installation has multiple websites, you can edit the scope to use the product on specific sites.","Jeśli instalacja Magento zawiera wiele witryn internetowych, możesz edytować zakres, aby korzystać z produktu w określonych witrynach."
name,Nazwa
Copy Data from,Skopiuj dane z
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products &gt; Categories</a>.","Jeśli nie ma niestandardowych kategorii nadrzędnych, użyj domyślnej kategorii nadrzędnej. Możesz zmienić przypisanie kategorii w dowolnym momencie w <a href=""%1"" target=""_blank""> Produkty & gt; Kategorie </a>."
This operation can take a long time,Ta operacja może zająć dużo czasu
Collapse All,Zwinąć wszystkie
Expand All,Rozwiń wszystkie
Please confirm site switching. All data that hasn't been saved will be lost.,"Proszę potwierdzić zmianę lokalizacji. Wszystkie dane, które nie zostały zapisane, zostaną utracone."
Use Default Value,Użyj wartości domyślnej
"Manage Titles (Size, Color, etc.)","Zarządzaj tytułami (rozmiar, kolor itp.)"
Manage Options (Values of Your Attribute),Zarządzaj opcjami (wartości Twojego atrybutu)
Is Default,Domyślnie
Sort Option,Opcja sortowania
Groups,Grupy
Double click on a group to rename it.,"Kliknij dwukrotnie na grupę, aby ją zmienić."
Unassigned Attributes,Nieprzypisane atrybuty
A name is required.,Wymagane jest nazwisko.
This group contains system attributes. Please move system attributes to another group and try again.,Ta grupa zawiera atrybuty systemu. Proszę przenieść atrybuty systemu do innej grupy i spróbować ponownie.
Please select a node.,Proszę wybrać węzeł.
Please enter a new group name.,Wprowadź nową nazwę grupy.
"An attribute group named ""/name/"" already exists.","Grupa atrybutów o nazwie ""/ name/"" już istnieje."
"Sorry, we're unable to complete this request.","Niestety, nie możemy zrealizować tego żądania."
You can't remove attributes from this attribute set.,Nie można usunąć atrybutów z tego zestawu atrybutów.
Custom Options,Opcje niestandardowe
This is a required option.,Jest to wymagana opcja.
The field isn't complete.,Pole nie jest kompletne.
Compatible file extensions to upload,Kompatybilne rozszerzenia plików do przesłania
Maximum image width,Maksymalna szerokość obrazu
Maximum image height,Maksymalna wysokość obrazu
Maximum number of characters:,Maksymalna liczba znaków:
start typing to search template,zacznij wpisywać szablon wyszukiwania
Product online,Produkt online
Product offline,Produkt w trybie offline
Product online status,Stan online produktów
Manage Stock,Zarządzaj zapasami
Qty,Ilość
Out-of-Stock Threshold,Próg Niedostępny
Minimum Qty Allowed in Shopping Cart,Minimalna ilość dozwolona w koszyku
Maximum Qty Allowed in Shopping Cart,Maksymalna ilość w koszyku
Qty Uses Decimals,Ilość Używa dziesiętnych
Backorders,Backorders
Notify for Quantity Below,Powiadom o ilości poniżej
Enable Qty Increments,Włącz zwiększenie ilości
Qty Increments,Ilość przyrostów
Stock Availability,Dostępność magazynowa
In Stock,W magazynie
Out of Stock,Obecnie brak na stanie
Add Product To Websites,Dodaj produkt do stron internetowych
Remove Product From Websites,Usuń produkt z witryn internetowych
"To hide an item in catalog or search results, set the status to ""Disabled"".","Aby ukryć element w katalogu lub w wynikach wyszukiwania, ustaw status na ""Wyłączony""."
We can't save custom-defined options for bundles with dynamic pricing.,Nie możemy zapisać niestandardowych opcji dla grup z dynamiczną ceną.
Delete Custom Option,Usuń opcję niestandardową
Sort Custom Options,Sortuj opcje niestandardowe
Input Type,Typ wejścia
%1 <span>x</span> %2 <span>px.</span>,% 1 <span> x </ span>% 2 <span> px. </ Span>
Sort Custom Option,Sortuj opcję niestandardową
Item Price,Cena przedmiotu
Action,Akcja
and above,i powyżej
Delete Tier,Usuń warstwę
Product In Websites,Produkt w witrynach internetowych
(Copy data from: %1),(Kopiuj dane z:% 1)
Browse to find or drag image here,"Przeglądaj, aby znaleźć lub przeciągnąć obraz tutaj"
Delete image,Usuń zdjęcie
Hidden,Ukryty
Alt Text,Tekst Alt
Role,Rola
Image Size,Rozmiar obrazu
{size},{rozmiar}
Image Resolution,Rozdzielczość obrazu
{width}^{height} px,{width} ^ {height} px
Hide from Product Page,Ukryj od strony produktu
Product Alerts,Alerty produktów
Allow Multiple Boxes for Shipping,Zezwól na wiele skrzynek do wysyłki
start typing to search attribute,zacznij wpisywać do atrybutu wyszukiwania
Basic Settings,Podstawowe ustawienia
Advanced Settings,Zaawansowane ustawienia
Changes have been made to this section that have not been saved.,"Wprowadzono zmiany w tej sekcji, które nie zostały zapisane."
This tab contains invalid data. Please resolve this before saving.,Ta karta zawiera nieprawidłowe dane. Proszę rozwiązać ten problem przed zapisaniem.
Mass Actions,Akty masowe
Select All,Zaznacz wszystko
Unselect All,Odznacz wszystko
Select Visible,Wybierz Widoczne
Unselect Visible,Usuń zaznaczenie
Special Price,Cena promocyjna
Regular Price,Normalna cena
Buy %1 for: ,Kup% 1 dla:
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>","Kup% 1 dla% 2 każdego i <strong class = ""benefit""> zapisz <span class = ""percent tier-% 3""> & nbsp;% 4 </ span>% </ strong>"
Buy %1 for %2 each,Kup% 1 dla% 2 każdy
Shop By,Sklep przez
Shopping Options,Opcje zakupów
Compare Products,Porównaj produkty
Print This Page,Wydrukuj tę stronę
Remove Product,Usuń produkt
Add to Cart,Dodaj do koszyka
In stock,W magazynie
Out of stock,Obecnie brak na stanie
Add to Wish List,Dodaj do listy życzeń
You have no items to compare.,Nie masz produktów do porównania.
Remove This Item,Usuń ten element
Compare,Porównać
Clear All,Wyczyść wszystko
Prev,Poprzedni
Next,Następny
We can't find products matching the selection.,Nie możemy znaleźć produktów pasujących do zaznaczenia.
Learn More,Ucz się więcej
Add to Compare,Dodaj do porównania
We found other products you might like!,"Znaleźliśmy inne produkty, które mogą Ci się spodobać!"
More Choices:,Więcej opcji:
Check items to add to the cart or,"Zaznacz elementy, które chcesz dodać do koszyka lub"
select all,Zaznacz wszystko
Items %1-%2 of %3,Elementy% 1-% 2 z% 3
%1 Item,% 1 Pozycja
%1 Items,% 1 elementów
Show,Pokazać
per page,na stronę
Sort By,Sortuj według
Set Ascending Direction,Ustaw kierunek rosnący
Set Descending Direction,Ustaw kierunek malejący
View as,Zobacz jako
More Information,Więcej informacji
Loading...,Ładuję...
* Required Fields,* Wymagane pola
Availability,Dostępność
Warning message,Wiadomość ostrzegawcza
Submit,Zatwierdź
We don't recognize or support this file extension type.,Nie rozpoznamy ani nie wspieramy tego typu rozszerzenia.
Configure Product,Konfiguruj produkt
OK,ok
"This value does not follow the specified format (for example, 200X300).",Ta wartość nie działa pod określonym formatem (na przykład 200X300).
Select type of option.,Wybierz typ opcji.
Please add rows to option.,Proszę dodać wiersze do opcji.
Please select items.,Proszę wybrać elementy.
Choose existing category.,Wybierz istniejącą kategorię.
Image Detail,Szczegóły obrazu
Adding...,Dodawanie ...
Added,W dodatku
does not implement Storage Interface,nie implementuje interfejsu pamięci masowej
unselect all,odznacz wszystko
Inventory,Inwentarz
Catalog Section,Sekcja katalogu
Small,Mały
Main,Główny
Custom image,Niestandardowy obraz
Product Fields Auto-Generation,Pola produktów Automatyczna generacja
Mask for SKU,Maska do SKU
Use {{name}} as Product Name placeholder,Użyj {{name}} jako nazwy zastępczej produktu produktu
Mask for Meta Title,Maska dla tytułu Meta
Mask for Meta Keywords,Maska dla Meta Słowa kluczowe
Use {{name}} as Product Name or {{sku}} as Product SKU placeholders,Użyj {{name}} jako nazwy produktu lub {{sku}} jako elementu zastępczego produktu SKU
Mask for Meta Description,Maska dla Meta Description
Use {{name}} and {{description}} as Product Name and Product Description placeholders,Użyj {{name}} i {{description}} jako symbolu zastępczego produktu i opisu produktu
Recently Viewed/Compared Products,Ostatnio oglądane / porównywane produkty
Lifetime of products in Recently Viewed Widget,Żywotność produktów w ostatnio oglądanym Widgetze
Lifetime of products in Recently Compared Widget,Żywotność produktów w niedawno zmodyfikowanym Widgetze
Synchronize widget products with backend storage,Synchronizowanie produktów widgetów z zapleczem
Storefront,Witryna sklepowa
List Mode,Tryb listy
Products per Page on Grid Allowed Values,Produkty na stronie w tabeli dozwolonych wartości
Comma-separated.,Oddzielone przecinkami.
Products per Page on Grid Default Value,Produkty na stronie w sieci o wartości domyślnej
Must be in the allowed values list,Musi znajdować się w liście dozwolonych wartości
Products per Page on List Allowed Values,Produkty na stronie w liście dozwolonych wartości
Products per Page on List Default Value,Produkty na stronie w liście Wartość domyślna
Use Flat Catalog Category,Użyj Katalog kategorii płaskich
Use Flat Catalog Product,Użyj produktu Katalog płaski
Product Listing Sort by,Lista produktów Sortuj według
Allow All Products per Page,Zezwól na wszystkie produkty na stronie
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown","Czy chcesz wyświetlić opcję ""Wszystkie"" w menu ""Pokaż stronę X na stronie"""
Allow Dynamic Media URLs in Products and Categories,Zezwalaj na adresy dynamicznych mediów w produktach i kategoriach
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","Na przykład. {{media url = ""ścieżka / do / image.jpg""}} {{skin url = ""ścieżka / do / obraz.gif""}}. Dyrektywy dynamiczne analizujące wyniki katalogów oddziałów."
Product Image Placeholders,Produkty zastępcze produktu
Search Engine Optimization,optymalizacja wyszukiwarki
Page Title Separator,Separator strony tytułowej
Use Canonical Link Meta Tag For Categories,Użyj Meta Tag do kategorii
Use Canonical Link Meta Tag For Products,Użyj tagu Meta Tag do produktów firmy Canonical
Catalog Price Scope,Zakres cen katalogowych
"This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Określa zakres waluty bazowej (""Ustawienia walut""> ""Opcje walut""> ""Waluta podstawowa"")."
Category Top Navigation,Kategoria Nawigacja w górę
Maximal Depth,Maksymalna głębokość
Date & Time Custom Options,Data i godzina Opcje niestandardowe
Use JavaScript Calendar,Użyj kalendarza JavaScript
Date Fields Order,Data zamówienia pola
Time Format,Format czasu
Year Range,Roczny zasięg
Please use a four-digit year format.,Proszę użyć czterocyfrowego formatu roku.
Use Static URLs for Media Content in WYSIWYG for Catalog,Użyj statycznych adresów URL dla zawartości multimedialnej w katalogu WYSIWYG
This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.,"Dotyczy to wyłącznie produktów i kategorii katalogu. Treść mediów zostanie wstawiona do edytora jako statyczny adres URL. Zawartość multimedialna nie jest aktualizowana, jeśli zmieni się podstawowy adres URL konfiguracji systemu."
Top Level Category,Kategoria najwyższego poziomu
Product Info Column,Kolumna produktu Informacje
Block after Info Column,Blokuj po kolumnie informacyjnej
Product Flat Data,Dane płaskie produktu
Reorganize EAV product structure to flat structure,Przeorganizować strukturę produktu EAV do struktury płaskiej
Category Flat Data,Kategoria Dane płaskie
Reorganize EAV category structure to flat structure,Reorganizacja struktury kategorii EAV do struktury płaskiej
Category Products,Produkty kategorii
Indexed category/products association,Stowarzyszenie kategorii / produktów indeksowanych
Product Categories,Kategorie produktów
Indexed product/categories association,Stowarzyszenie indeksowanych produktów / kategorii
Product Price,Cena produktu
Index product prices,Indeksuj ceny produktów
Product EAV,Produkt EAV
Index product EAV,Produkt indeksowy EAV
Catalog New Products List,Katalog produktów Nowe produkty
List of Products that are set as New,Lista produktów ustawionych jako nowe
Display Type,Typ wyświetlacza
"All products - recently added products, New products - products marked as new","Wszystkie produkty - ostatnio dodane produkty, Nowe produkty - produkty oznaczone jako nowe"
All products,Wszystkie produkty
New products,Nowe Produkty
Display Page Control,Sterowanie stroną graficzną
Number of Products per Page,Liczba produktów na stronie
Number of Products to Display,Liczba produktów do wyświetlenia
Template,Szablon
New Products Grid Template,Nowe szablony produktów
New Products List Template,Nowy szablon listy produktów
New Products Images and Names Template,Nowe produkty Obrazki i nazwy Szablon
New Products Names Only Template,Nowe produkty Nazwa tylko szablon
New Products Images Only Template,Nowe produkty Tylko szablony
Cache Lifetime (Seconds),Cykl życia (w sekundach)
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","Domyślnie domyślnie 86400, jeśli nie ustawiono. Aby odświeżyć natychmiast, wyczyść pamięć podręczną Blocks HTML Output."
Catalog Product Link,Link produktów do katalogu
Link to a Specified Product,Link do określonego produktu
Select Product...,Wybierz produkt ...
Anchor Custom Text,Anchor Custom Text
"If empty, we'll use the product name here.","Użyjemy tu nazwy produktu, jeśli jest pusta."
Anchor Custom Title,Anchor Custom Title
Product Link Block Template,Szablon bloku linków produktu
Product Link Inline Template,Szablon wewnętrzny linku produktu
Catalog Category Link,Katalog Kategoria Link
Link to a Specified Category,Link do określonej kategorii
Select Category...,Wybierz kategorię...
"If empty, we'll use the category name here.","Użyjemy tutaj nazwy kategorii, jeśli będzie pusta."
Category Link Block Template,Szablon Szablonu kategorii
Category Link Inline Template,Szablon linku wewnętrznego kategorii
Recently Viewed Products,ostatnio oglądane produkty
List of Products Recently Viewed by Visitor,Lista produktów Ostatnio oglądane przez gości
UI Component,Komponent interfejsu użytkownika
Number of Products to display,Liczba produktów do wyświetlenia
Product attributes to show,Atrybuty produktów do wyświetlenia
Image,Obraz
Learn More Link,Dowiedz się więcej Link
Buttons to show,Przyciski do pokazania
Add to Wishlist,Dodaj do listy życzeń
Viewed Products Grid Template,Wyświetlane szablony produktów
Viewed Products List Template,Szablon listy produktów
Viewed Products Sidebar Template,Oglądane szablony pasków bocznych
Recently Compared Products,Ostatnio porównywane produkty
List of Products Recently Compared by Visitor,Lista produktów Ostatnio Porównanie według odwiedzających
Compared Products Grid Template,Porównane szablony produktów
Compared Products List Template,Szablon listy produktów porównywanych
Set,Zestaw
Category Information,Informacje o kategorii
Enable Category,Włącz kategorię
Include in Menu,Dołącz w menu
Content,Zadowolony
Category Image,Obraz kategorii
Description,Opis
Add CMS Block,Dodaj blok CMS
Display Settings,Ustawienia wyświetlania
Display Mode,Tryb wyświetlania
Anchor,Kotwica
Available Product Listing Sort By,Dostępny lista produktów Sortuj według
Use All,Użyj wszystko
Default Product Listing Sort By,Domyślny katalog produktów Sortowanie
Layered Navigation Price Step,Krok krok po kroku
URL Key,Klucz URL
Meta Title,Tytuł Meta
Meta Keywords,Meta Słowa kluczowe
Meta Description,Opis Meta
Products in Category,Produkty w kategorii
Design,Projekt
Theme,Motyw
Layout,Układ
Layout Update XML,Aktualizacja układu XML
Apply Design to Products,Zastosuj projekt do produktów
Schedule Design Update,Aktualizacja projektu harmonogramu
AttributeSetText,AttributeSetText
StatusText,StatusText
Product Image Watermarks,Obraz produktu Znaki wodne
Base,Baza
"Allowed file types: jpeg, gif, png.","Dozwolone typy plików: jpeg, gif, png."
Image,Obraz
Image Opacity,Nieprzewidywalność obrazu
Example format: 200x300.,Przykładowy format: 200x300.
Image Position,Pozycja obrazu
Small,Mały
Attribute Properties,Właściwości atrybutu
Attribute Label,Etykieta atrybutu
Catalog Input Type for Store Owner,Typ wejścia katalogu dla właściciela sklepu
Values,Wartości
Add this attribute to the list of column options in the product grid.,Dodaj ten atrybut do listy opcji kolumn w siatce produktów.
Add this attribute to the list of filter options in the product grid.,Dodaj ten atrybut do listy filtrów w sieci produktów.
System,System
All Store Views,Wszystkie widoki sklepów
Delete selected items?,Usunąć wybrane elementy?
Delete items,Usuń elementy
Change status,Zmień status
Enable,Włączyć
Disable,Wyłączyć
Update attributes,Zaktualizuj atrybuty
Overview,Przegląd
Skip to the end of the images gallery,Przejdź na koniec galerii zdjęć
Skip to the beginning of the images gallery,Przejdź na początek galerii obrazów
Details,Detale
Recently Compared,Niedawno porównane
Add To Cart,Dodaj do koszyka
Add To Compare,Dodaj do porównania
Learn more,Ucz się więcej
Recently Viewed,Ostatnio oglądane
